<name2> = <val6>	<name2> に <val6> を入れる
<name1> - <name2>	<name1> マイナス <name2>
<name5> - <name2>	<name5> ひく <name2> を算出する
<name1> - <name2>	<name1> ひく <name2> を算出する
<name4> - <name5>	<name4> マイナス <name5> を計算する
<name1> - <name2>	<name1> マイナス <name2> を計算する
<name5> - <name4>	<name5> 引く <name4> を算出する
<name1> - <name2>	<name1> 引く <name2> を算出する
<name1> - <name4>	<name1> と <name4> の差
<name1> - <name2>	<name1> と <name2> の差
<name6> - <name1>	<name6> と <name1> の差を算出する
<name1> - <name2>	<name1> と <name2> の差を算出する
<name1> * <name4>	<name1> に <name4> をかけた値
<name1> * <name2>	<name1> に <name2> をかけた値
<name3> * <name6>	<name6> を <name3> にかけた値
<name1> * <name2>	<name2> を <name1> にかけた値
<name4> * <name3>	<name4> に <name3> をかけた値を計算する
<name1> * <name2>	<name1> に <name2> をかけた値を計算する
<name5> * <name6>	<name6> を <name5> にかけた値を算出する
<name1> * <name2>	<name2> を <name1> にかけた値を算出する
<name1> * <name5>	<name1> かける <name5>
<name1> * <name2>	<name1> かける <name2>
<name3> * <name2>	<name3> 掛ける <name2>
<name1> * <name2>	<name1> 掛ける <name2>
<name4> * <name3>	<name4> 掛ける <name3> を算出する
<name1> * <name2>	<name1> 掛ける <name2> を算出する
<name2> * <name4>	<name2> かける <name4> を求める
<name1> * <name2>	<name1> かける <name2> を求める
<name5> * <name4>	<name5> と <name4> の積
<name1> * <name2>	<name1> と <name2> の積
<name4> * <name2>	<name4> と <name2> の積を算出する
<name1> * <name2>	<name1> と <name2> の積を算出する
<name2> / <name1>	<name2> を <name1> でわった値
<name1> / <name2>	<name1> を <name2> でわった値
<name5> / <name2>	<name5> を <name2> でわった値を求める
<name1> / <name2>	<name1> を <name2> でわった値を求める
<name3> / <name4>	<name3> 割る <name4>
<name1> / <name2>	<name1> 割る <name2>
<name6> / <name3>	<name6> わる <name3>
<name1> / <name2>	<name1> わる <name2>
<name4> / <name6>	<name4> 割る <name6> を算出する
<name1> / <name2>	<name1> 割る <name2> を算出する
<name2> / <name1>	<name2> わる <name1> を求める
<name1> / <name2>	<name1> わる <name2> を求める
<name4> / <name1>	<name4> と <name1> の商
<name1> / <name2>	<name1> と <name2> の商
<name2> / <name1>	<name2> と <name1> の商を計算する
<name1> / <name2>	<name1> と <name2> の商を計算する
<name1> / <name2>	<name2> 分の <name1>
<name4> / <name5>	<name5> 分の <name4> を算出する
<name1> / <name2>	<name2> 分の <name1> を算出する
<name1> // <name6>	<name1> を <name6> でわった値の整数部分
<name1> // <name2>	<name1> を <name2> でわった値の整数部分
<name6> // <name5>	<name6> を <name5> でわった値の整数部分を求める
<name1> // <name2>	<name1> を <name2> でわった値の整数部分を求める
<name5> ** <val4>	<name5> の <val4> 乗
<name1> ** <val2>	<name1> の <val2> 乗
<name6> ** 2	<name6> の二乗
<name1> ** 2	<name1> の二乗
<name2> ** 2	<name2> の二乗を算出する
<name1> ** 2	<name1> の二乗を算出する
<name6> ** <val1>	<name6> の <val1> 乗を求める
<name1> ** <val2>	<name1> の <val2> 乗を求める
<name2> % <name5>	<name2> を <name5> で割った余り
<name1> % <name2>	<name1> を <name2> で割った余り
<name3> % <name4>	<name3> を <name4> で割ったあまり
<name1> % <name2>	<name1> を <name2> で割ったあまり
<name6> % <name2>	<name6> を <name2> で割った余りを求める
<name1> % <name2>	<name1> を <name2> で割った余りを求める
<name3> % <name2>	<name3> を <name2> で割ったあまりを計算する
<name1> % <name2>	<name1> を <name2> で割ったあまりを計算する
<name3> % <name1>	<name3> を <name1> で剰余
<name1> % <name2>	<name1> を <name2> で剰余
<name4> % <name5>	<name5> で <name4> を剰余
<name1> % <name2>	<name2> で <name1> を剰余
<name4> % <name2>	<name4> を <name2> で剰余を計算する
<name1> % <name2>	<name1> を <name2> で剰余を計算する
<name2> % <name1>	<name1> で <name2> を剰余を求める
<name1> % <name2>	<name2> で <name1> を剰余を求める
<name2> % <name4>	<name2> と <name4> の mod
<name1> % <name2>	<name1> と <name2> の mod
<name6> % <name4>	<name6> と <name4> の mod を求める
<name1> % <name2>	<name1> と <name2> の mod を求める
<name6> % <name4>	<name6> と <name4> の割り算の余り
<name1> % <name2>	<name1> と <name2> の割り算の余り
<name5> % <name3>	<name5> と <name3> の割り算のあまり
<name1> % <name2>	<name1> と <name2> の割り算のあまり
<name2> % <name6>	<name2> と <name6> の割り算の余りを計算する
<name1> % <name2>	<name1> と <name2> の割り算の余りを計算する
<name2> % <name6>	<name2> と <name6> の割り算のあまりを求める
<name1> % <name2>	<name1> と <name2> の割り算のあまりを求める
( <name6> + <name4> - 1 ) // <name4>	<name6> を <name4> で割った結果の切り上げ
( <name1> + <name2> - 1 ) // <name2>	<name1> を <name2> で割った結果の切り上げ
( <name2> + <name5> - 1 ) // <name5>	<name2> を <name5> でわった結果の切り上げ
( <name1> + <name2> - 1 ) // <name2>	<name1> を <name2> でわった結果の切り上げ
( <name5> + <name1> - 1 ) // <name1>	<name1> で <name5> をわった結果の切り上げ
( <name1> + <name2> - 1 ) // <name2>	<name2> で <name1> をわった結果の切り上げ
( <name4> + <name6> - 1 ) // <name6>	<name6> で <name4> を割った結果の切り上げ
( <name1> + <name2> - 1 ) // <name2>	<name2> で <name1> を割った結果の切り上げ
( <name1> + <name4> - 1 ) // <name4>	<name1> を <name4> で割った結果の切り上げを計算する
( <name1> + <name2> - 1 ) // <name2>	<name1> を <name2> で割った結果の切り上げを計算する
( <name6> + <name2> - 1 ) // <name2>	<name6> を <name2> でわった結果の切り上げを算出する
( <name1> + <name2> - 1 ) // <name2>	<name1> を <name2> でわった結果の切り上げを算出する
( <name2> + <name5> - 1 ) // <name5>	<name5> で <name2> を割った結果の切り上げを求める
( <name1> + <name2> - 1 ) // <name2>	<name2> で <name1> を割った結果の切り上げを求める
( <name3> + <name1> - 1 ) // <name1>	<name1> で <name3> をわった結果の切り上げを計算する
( <name1> + <name2> - 1 ) // <name2>	<name2> で <name1> をわった結果の切り上げを計算する
( <name4> + <name2> - 1 ) // <name2>	<name4> わる <name2> を切り上げる
( <name1> + <name2> - 1 ) // <name2>	<name1> わる <name2> を切り上げる
( <name4> + <name6> - 1 ) // <name6>	<name4> 割る <name6> を切り上げる
( <name1> + <name2> - 1 ) // <name2>	<name1> 割る <name2> を切り上げる
( <name6> + <name5> - 1 ) // <name5>	<name6> 割る <name5> の切り上げ
( <name1> + <name2> - 1 ) // <name2>	<name1> 割る <name2> の切り上げ
( <name1> + <name4> - 1 ) // <name4>	<name1> わる <name4> の切り上げ
( <name1> + <name2> - 1 ) // <name2>	<name1> わる <name2> の切り上げ
( <name1> + <name2> - 1 ) // <name2>	<name1> 割る <name2> の切り上げを算出する
( <name6> + <name3> - 1 ) // <name3>	<name6> わる <name3> の切り上げを求める
( <name1> + <name2> - 1 ) // <name2>	<name1> わる <name2> の切り上げを求める
( <name6> + <name3> - 1 ) // <name3>	<name6> を <name3> で割った値を切り上げる
( <name1> + <name2> - 1 ) // <name2>	<name1> を <name2> で割った値を切り上げる
( <name3> + <name6> - 1 ) // <name6>	わった値を <name3> を <name6> で切り上げる
( <name1> + <name2> - 1 ) // <name2>	わった値を <name1> を <name2> で切り上げる
( <name1> + <name2> - 1 ) // <name2>	<name2> で <name1> をわった値を切り上げる
( <name5> + <name3> - 1 ) // <name3>	<name5> を <name3> でわった値を切り上げる
( <name1> + <name2> - 1 ) // <name2>	<name1> を <name2> でわった値を切り上げる
( <name3> + <name6> - 1 ) // <name6>	<name3> をわった値を <name6> で切り上げる
( <name1> + <name2> - 1 ) // <name2>	<name1> をわった値を <name2> で切り上げる
( <name4> + <name1> - 1 ) // <name1>	割った値を <name4> を <name1> で切り上げる
( <name1> + <name2> - 1 ) // <name2>	割った値を <name1> を <name2> で切り上げる
( <name4> + <name3> - 1 ) // <name3>	<name3> でわった値を <name4> を切り上げる
( <name1> + <name2> - 1 ) // <name2>	<name2> でわった値を <name1> を切り上げる
( <name5> + <name4> - 1 ) // <name4>	わった値を <name4> で <name5> を切り上げる
( <name1> + <name2> - 1 ) // <name2>	わった値を <name2> で <name1> を切り上げる
( <name2> + <name1> - 1 ) // <name1>	<name1> で割った値を <name2> を切り上げる
( <name1> + <name2> - 1 ) // <name2>	<name2> で割った値を <name1> を切り上げる
( <name6> + <name2> - 1 ) // <name2>	<name2> で <name6> を割った値を切り上げる
( <name1> + <name2> - 1 ) // <name2>	<name2> で <name1> を割った値を切り上げる
( <name4> + <name2> - 1 ) // <name2>	<name4> を割った値を <name2> で切り上げる
( <name1> + <name2> - 1 ) // <name2>	<name1> を割った値を <name2> で切り上げる
( <name3> + <name5> - 1 ) // <name5>	割った値を <name5> で <name3> を切り上げる
( <name1> + <name2> - 1 ) // <name2>	割った値を <name2> で <name1> を切り上げる
<name3> & <name6>	<name3> と <name6> の論理積
<name1> & <name2>	<name1> と <name2> の論理積
<name5> & <name3>	<name5> と <name3> の論理積を計算する
<name1> & <name2>	<name1> と <name2> の論理積を計算する
<name2> | <name4>	<name2> と <name4> の論理和
<name1> | <name2>	<name1> と <name2> の論理和
<name4> | <name5>	<name4> と <name5> の論理和を算出する
<name1> | <name2>	<name1> と <name2> の論理和を算出する
x ^ <name3>	a と <name3> の排他的論理和
x ^ <name1>	a と <name1> の排他的論理和
x ^ <name6>	a と <name6> の排他的論理和を計算する
x ^ <name1>	a と <name1> の排他的論理和を計算する
<name3> << <name2>	<name3> を <name2> だけシフトした左シフト値
<name1> << <name2>	<name1> を <name2> だけシフトした左シフト値
<name5> << <name2>	<name5> を <name2> だけシフトした左シフト値を計算する
<name1> << <name2>	<name1> を <name2> だけシフトした左シフト値を計算する
<name1> >> <name3>	<name1> を <name3> だけシフトした右シフト値
<name1> >> <name2>	<name1> を <name2> だけシフトした右シフト値
<name1> >> <name6>	<name1> を <name6> だけシフトした右シフト値を算出する
<name1> >> <name2>	<name1> を <name2> だけシフトした右シフト値を算出する
<name6> += <name4>	<name6> を <name4> だけ増加させる
<name1> += <name2>	<name1> を <name2> だけ増加させる
<name3> += <name6>	<name3> を <name6> だけ大きくする
<name1> += <name2>	<name1> を <name2> だけ大きくする
<name1> += <name4>	<name1> を <name4> だけ増やす
<name1> += <name2>	<name1> を <name2> だけ増やす
<name3> += <name2>	<name3> に <name2> を足して代入する
<name1> += <name2>	<name1> に <name2> を足して代入する
<name1> += <name4>	<name4> を <name1> に足して代入する
<name1> += <name2>	<name2> を <name1> に足して代入する
<name1> += <name5>	<name1> に <name5> を足して入れる
<name1> += <name2>	<name1> に <name2> を足して入れる
<name2> += <name4>	<name4> を <name2> に足して入れる
<name1> += <name2>	<name2> を <name1> に足して入れる
<name2> += <name5>	<name2> に <name5> を足して代入
<name1> += <name2>	<name1> に <name2> を足して代入
<name2> += <name5>	<name5> を <name2> に足して代入
<name1> += <name2>	<name2> を <name1> に足して代入
<name5> += <name6>	<name5> と <name6> の値を足して <name5> に代入する
<name1> += <name2>	<name1> と <name2> の値を足して <name1> に代入する
<name3> += <name4>	<name3> と <name4> の値を足して <name3> に代入
<name1> += <name2>	<name1> と <name2> の値を足して <name1> に代入
<name6> += <name4>	<name6> と <name4> の値を足して <name6> に入れる
<name1> += <name2>	<name1> と <name2> の値を足して <name1> に入れる
<name6> += <name1>	<name6> 足す <name1> の値を <name6> に代入する
<name1> += <name2>	<name1> 足す <name2> の値を <name1> に代入する
<name6> += <name3>	<name6> 足す <name3> の値を <name6> に入れる
<name1> += <name2>	<name1> 足す <name2> の値を <name1> に入れる
<name1> += <name3>	<name1> たす <name3> の値を <name1> に入れる
<name1> += <name2>	<name1> たす <name2> の値を <name1> に入れる
<name4> += <name3>	<name4> たす <name3> の値を <name4> に代入
<name1> += <name2>	<name1> たす <name2> の値を <name1> に代入
<name5> += <name6>	<name5> たす <name6> の値を <name5> に代入する
<name1> += <name2>	<name1> たす <name2> の値を <name1> に代入する
<name6> += <name3>	<name6> 足す <name3> の値を <name6> に代入
<name1> += <name2>	<name1> 足す <name2> の値を <name1> に代入
<name5> -= <name6>	<name5> を <name6> だけ減少させる
<name1> -= <name2>	<name1> を <name2> だけ減少させる
<name5> -= <name2>	<name5> を <name2> だけ減らす
<name1> -= <name2>	<name1> を <name2> だけ減らす
<name1> -= <name5>	<name1> を <name5> だけ小さくする
<name1> -= <name2>	<name1> を <name2> だけ小さくする
<name2> -= <name1>	<name2> から <name1> の値を引いて <name2> に代入する
<name1> -= <name2>	<name1> から <name2> の値を引いて <name1> に代入する
<name4> -= <name2>	<name4> から <name2> の値を引いて <name4> に入れる
<name1> -= <name2>	<name1> から <name2> の値を引いて <name1> に入れる
<name2> -= <name6>	<name2> から <name6> を引いて <name2> に代入
<name1> -= <name2>	<name1> から <name2> を引いて <name1> に代入
<name3> -= <name1>	<name3> から <name1> を引いて <name3> に代入する
<name1> -= <name2>	<name1> から <name2> を引いて <name1> に代入する
<name2> -= <name1>	<name2> から <name1> の値を引いて <name2> に代入
<name1> -= <name2>	<name1> から <name2> の値を引いて <name1> に代入
<name5> -= <name3>	<name5> から <name3> を引いて <name5> に入れる
<name1> -= <name2>	<name1> から <name2> を引いて <name1> に入れる
<name4> -= <name6>	<name4> ひく <name6> の値を <name4> に代入する
<name1> -= <name2>	<name1> ひく <name2> の値を <name1> に代入する
<name4> -= <name3>	<name4> 引く <name3> の値を <name4> に入れる
<name1> -= <name2>	<name1> 引く <name2> の値を <name1> に入れる
<name2> -= <name4>	<name2> ひく <name4> の値を <name2> に代入
<name1> -= <name2>	<name1> ひく <name2> の値を <name1> に代入
<name2> -= <name4>	<name2> ひく <name4> の値を <name2> に入れる
<name1> -= <name2>	<name1> ひく <name2> の値を <name1> に入れる
<name2> -= <name6>	<name2> 引く <name6> の値を <name2> に代入する
<name1> -= <name2>	<name1> 引く <name2> の値を <name1> に代入する
<name5> -= <name4>	<name5> 引く <name4> の値を <name5> に代入
<name1> -= <name2>	<name1> 引く <name2> の値を <name1> に代入
<name2> *= <name3>	<name2> を <name3> 倍にする
<name1> *= <name2>	<name1> を <name2> 倍にする
<name2> *= <name4>	<name4> 倍に <name2> をする
<name1> *= <name2>	<name2> 倍に <name1> をする
<name3> *= <name6>	<name3> に <name6> をかけた値を <name3> に代入する
<name1> *= <name2>	<name1> に <name2> をかけた値を <name1> に代入する
<name2> *= <name6>	<name2> に <name6> を <name2> にかけた値を入れる
<name1> *= <name2>	<name1> に <name2> を <name1> にかけた値を入れる
<name3> *= <name2>	<name2> を <name3> にかけた値を <name3> に代入する
<name1> *= <name2>	<name2> を <name1> にかけた値を <name1> に代入する
<name1> *= <name2>	<name1> に <name1> に <name2> をかけた値を代入
<name3> *= <name1>	<name1> を <name3> にかけた値を <name3> に代入
<name1> *= <name2>	<name2> を <name1> にかけた値を <name1> に代入
<name2> *= <name4>	<name2> に <name4> をかけた値を <name2> に入れる
<name1> *= <name2>	<name1> に <name2> をかけた値を <name1> に入れる
<name2> *= <name3>	<name2> に <name3> を <name2> にかけた値を代入する
<name1> *= <name2>	<name1> に <name2> を <name1> にかけた値を代入する
<name4> *= <name6>	<name4> に <name6> をかけた値を <name4> に代入
<name1> *= <name2>	<name1> に <name2> をかけた値を <name1> に代入
<name6> *= <name3>	<name6> に <name6> に <name3> をかけた値を代入する
<name1> *= <name2>	<name1> に <name1> に <name2> をかけた値を代入する
<name3> *= <name6>	<name3> に <name3> に <name6> をかけた値を入れる
<name1> *= <name2>	<name1> に <name1> に <name2> をかけた値を入れる
<name6> *= <name1>	<name1> を <name6> にかけた値を <name6> に入れる
<name1> *= <name2>	<name2> を <name1> にかけた値を <name1> に入れる
<name5> *= <name4>	<name5> に <name4> を <name5> にかけた値を代入
<name1> *= <name2>	<name1> に <name2> を <name1> にかけた値を代入
<name6> ** = <name2>	<name6> を <name2> 乗する
<name1> ** = <name2>	<name1> を <name2> 乗する
<name4> /= <name2>	<name4> を <name2> 分の一にする
<name1> /= <name2>	<name1> を <name2> 分の一にする
<name3> // = <name1>	<name3> を <name1> 分の一にする
<name1> // = <name2>	<name1> を <name2> 分の一にする
<name6> % = <name4>	<name6> を <name4> で割った余りを <name6> に代入する
<name1> % = <name2>	<name1> を <name2> で割った余りを <name1> に代入する
<name3> % = <name1>	<name3> に <name3> を <name1> でわったあまりを代入
<name1> % = <name2>	<name1> に <name1> を <name2> でわったあまりを代入
<name6> % = <name3>	<name6> を <name3> でわったあまりを <name6> に入れる
<name1> % = <name2>	<name1> を <name2> でわったあまりを <name1> に入れる
<name6> % = <name3>	<name6> を <name3> で割った余りを <name6> に入れる
<name1> % = <name2>	<name1> を <name2> で割った余りを <name1> に入れる
<name1> % = <name2>	<name1> に <name1> を <name2> で割った余りを入れる
<name1> % = <name4>	<name1> を <name4> でわったあまりを <name1> に代入
<name1> % = <name2>	<name1> を <name2> でわったあまりを <name1> に代入
<name5> % = <name2>	<name5> に <name5> を <name2> で割った余りを代入する
<name1> % = <name2>	<name1> に <name1> を <name2> で割った余りを代入する
<name6> % = <name4>	<name6> に <name6> を <name4> でわったあまりを入れる
<name1> % = <name2>	<name1> に <name1> を <name2> でわったあまりを入れる
abs ( <name4> )	<name4> の絶対値
abs ( <name1> )	<name1> の絶対値
abs ( <name3> )	<name3> の絶対値を計算する
abs ( <name1> )	<name1> の絶対値を計算する
complex ( <name3> )	<name3> の複素数
complex ( <name1> )	<name1> の複素数
complex ( <name6> )	<name6> の複素数を算出する
complex ( <name1> )	<name1> の複素数を算出する
complex ( <name5> , <name1> )	<name5> を実部 <name1> を虚部とした複素数
complex ( <name1> , <name2> )	<name1> を実部 <name2> を虚部とした複素数
complex ( <name2> , <name1> )	実部 <name1> を <name2> を虚部とした複素数
complex ( <name1> , <name2> )	実部 <name2> を <name1> を虚部とした複素数
complex ( <name3> , <name6> )	<name3> を実部 <name6> を虚部とした複素数を計算する
complex ( <name1> , <name2> )	<name1> を実部 <name2> を虚部とした複素数を計算する
complex ( <name4> , <name1> )	実部 <name1> を <name4> を虚部とした複素数を計算する
complex ( <name1> , <name2> )	実部 <name2> を <name1> を虚部とした複素数を計算する
divmod ( <name2> , <name6> )	<name2> を <name6> で割ったときの商と余りの組
divmod ( <name1> , <name2> )	<name1> を <name2> で割ったときの商と余りの組
divmod ( <name5> , <name6> )	<name5> を <name6> でわったときの商と余りの組
divmod ( <name1> , <name2> )	<name1> を <name2> でわったときの商と余りの組
divmod ( <name3> , <name4> )	<name3> を <name4> で割ったときの商と剰余の組
divmod ( <name1> , <name2> )	<name1> を <name2> で割ったときの商と剰余の組
divmod ( <name5> , <name6> )	<name5> を <name6> で割ったときの商とあまりの組
divmod ( <name1> , <name2> )	<name1> を <name2> で割ったときの商とあまりの組
divmod ( <name3> , <name1> )	<name3> を <name1> でわったときの商と剰余の組
divmod ( <name1> , <name2> )	<name1> を <name2> でわったときの商と剰余の組
divmod ( <name4> , <name6> )	<name4> を <name6> でわったときの商とあまりの組
divmod ( <name1> , <name2> )	<name1> を <name2> でわったときの商とあまりの組
divmod ( <name2> , <name4> )	<name2> を <name4> で割ったときの商と剰余の組を求める
divmod ( <name1> , <name2> )	<name1> を <name2> で割ったときの商と剰余の組を求める
divmod ( <name4> , <name6> )	<name4> を <name6> で割ったときの商とあまりの組を計算する
divmod ( <name1> , <name2> )	<name1> を <name2> で割ったときの商とあまりの組を計算する
divmod ( <name2> , <name5> )	<name2> を <name5> でわったときの商と剰余の組を算出する
divmod ( <name1> , <name2> )	<name1> を <name2> でわったときの商と剰余の組を算出する
divmod ( <name3> , <name5> )	<name3> を <name5> でわったときの商とあまりの組を求める
divmod ( <name1> , <name2> )	<name1> を <name2> でわったときの商とあまりの組を求める
divmod ( <name2> , <name3> )	<name2> を <name3> で割ったときの商と余りの組を算出する
divmod ( <name1> , <name2> )	<name1> を <name2> で割ったときの商と余りの組を算出する
divmod ( <name4> , <name6> )	<name4> を <name6> でわったときの商と余りの組を算出する
divmod ( <name1> , <name2> )	<name1> を <name2> でわったときの商と余りの組を算出する
divmod ( <name2> , <name5> )	<name2> と <name5> の商と剰余の組
divmod ( <name1> , <name2> )	<name1> と <name2> の商と剰余の組
divmod ( <name5> , <name6> )	<name5> と <name6> の商と余りの組
divmod ( <name1> , <name2> )	<name1> と <name2> の商と余りの組
divmod ( <name2> , <name4> )	<name2> と <name4> の商と剰余の組を算出する
divmod ( <name1> , <name2> )	<name1> と <name2> の商と剰余の組を算出する
divmod ( <name6> , <name2> )	<name6> と <name2> の商と余りの組を算出する
divmod ( <name1> , <name2> )	<name1> と <name2> の商と余りの組を算出する
hash ( <name2> )	<name2> のハッシュ値
hash ( <name1> )	<name1> のハッシュ値
hash ( <name5> )	<name5> のハッシュ値を計算する
hash ( <name1> )	<name1> のハッシュ値を計算する
pow ( <name1> , <name3> )	<name1> の <name3> 乗
pow ( <name1> , <name2> )	<name1> の <name2> 乗
pow ( <name2> , <name4> )	<name2> の <name4> 乗を計算する
pow ( <name1> , <name2> )	<name1> の <name2> 乗を計算する
pow ( <name3> , <name4> , <name1> )	<name3> の <name4> 乗に対する <name1> の剰余
pow ( <name1> , <name2> , <name3> )	<name1> の <name2> 乗に対する <name3> の剰余
pow ( <name6> , <name1> , <name3> )	<name6> の <name1> 乗に対する <name3> の余り
pow ( <name1> , <name2> , <name3> )	<name1> の <name2> 乗に対する <name3> の余り
pow ( <name2> , <name5> , <name6> )	<name2> の <name5> 乗に対する <name6> の剰余を計算する
pow ( <name1> , <name2> , <name3> )	<name1> の <name2> 乗に対する <name3> の剰余を計算する
pow ( <name1> , <name5> , <name4> )	<name1> の <name5> 乗に対する <name4> の余りを求める
pow ( <name1> , <name2> , <name3> )	<name1> の <name2> 乗に対する <name3> の余りを求める
pow ( <name6> , <name4> , <name5> )	<name6> の <name4> 乗を <name5> で割った余り
pow ( <name1> , <name2> , <name3> )	<name1> の <name2> 乗を <name3> で割った余り
pow ( <name2> , <name3> , <name5> )	<name2> の <name3> 乗を <name5> でわったあまり
pow ( <name1> , <name2> , <name3> )	<name1> の <name2> 乗を <name3> でわったあまり
pow ( <name4> , <name6> , <name1> )	<name4> の <name6> 乗を <name1> で割った余りを求める
pow ( <name1> , <name2> , <name3> )	<name1> の <name2> 乗を <name3> で割った余りを求める
pow ( <name1> , <name5> , <name4> )	<name1> の <name5> 乗を <name4> でわったあまりを算出する
pow ( <name1> , <name2> , <name3> )	<name1> の <name2> 乗を <name3> でわったあまりを算出する
round ( <name4> )	<name4> の小数点を丸めた値
round ( <name1> )	<name1> の小数点を丸めた値
round ( <name3> )	<name3> の小数点を丸めた値を求める
round ( <name1> )	<name1> の小数点を丸めた値を求める
round ( <name1> )	<name1> の整数値
round ( <name2> )	<name2> の整数値を算出する
round ( <name1> )	<name1> の整数値を算出する
round ( <name3> , 1 )	<name3> を小数点第一位までに丸めた値
round ( <name1> , 1 )	<name1> を小数点第一位までに丸めた値
round ( <name2> , 1 )	小数点第一位までに <name2> を丸めた値
round ( <name1> , 1 )	小数点第一位までに <name1> を丸めた値
round ( <name5> , 1 )	<name5> を小数点第一位までに丸めた値を計算する
round ( <name1> , 1 )	<name1> を小数点第一位までに丸めた値を計算する
round ( <name4> , 1 )	小数点第一位までに <name4> を丸めた値を求める
round ( <name1> , 1 )	小数点第一位までに <name1> を丸めた値を求める
round ( <name5> , -1 )	<name5> を十の位までに丸めた値
round ( <name1> , -1 )	<name1> を十の位までに丸めた値
round ( <name5> , -1 )	十の位までに <name5> を丸めた値
round ( <name1> , -1 )	十の位までに <name1> を丸めた値
round ( <name5> , -1 )	<name5> を十の位までに丸めた値を求める
round ( <name1> , -1 )	<name1> を十の位までに丸めた値を求める
round ( <name3> , -1 )	十の位までに <name3> を丸めた値を求める
round ( <name1> , -1 )	十の位までに <name1> を丸めた値を求める
max ( <name6> , <name1> , <name4> )	<name6> 、 <name1> 、 <name4> の中で一番大きい値
max ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> の中で一番大きい値
max ( <name1> , <name2> , <name6> )	<name1> 、 <name2> 、 <name6> のうち最大の値
max ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> のうち最大の値
max ( <name1> , <name4> , <name3> )	<name1> 、 <name4> 、 <name3> のうちもっとも大きい値
max ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> のうちもっとも大きい値
